eat_pref,salt_sweet,costco,fav_meal,books_per_year,music_per_day,age,fav_color,bible_offer,trick_or_treat_cutoff,states_lived,rock_collect,fav_dining,work_per_week,exercise_per_week,car,rainy_days,why_class,born_state,fav_band,states_visited,meals_per_week_campus,sibling,first_gen,countries_visited,pets_num,fav_movie_growing_up,god,caffiene_drink_per_week,credits,diet,ski_snowboard,rock_climbing,mt_biking,cat_or_dog,ice_cream,breakfast_days_per_week,ai_opinion,fav_season,major
Order in,Sweet,around once a month,Dinner,0,3,21,Red,3,16,2,No,Fairhaven,30,5,Yes,No,Major,Michigan,Eminem,5,0,1,No,0,2,Spiderman,No,5,15,None of the above,"Yes, but once or only a few times",No,No,Dogs,chocolate,7,,Spring,Biochemistry 
No preference,No preference,around once a year,Lunch,0,5,19,Purple,1,17,1,No,None ,0,4,Yes,Somewhat,Major,Washington,LE SSERAFIM,1,3,1,Yes,7,1,Kung fu hustle,Don't know,0,14,None of the above,No,No,No,Dogs,vanilla,2,somewhat negative,Spring,Bio/prepharmacy
Order in,Sweet,around once a month,Dinner,3,4,19,Purple,6,17,1,Yes,Fairhaven,0,1,Yes,Somewhat,Major,Washington,Joy Division,14,4,1,No,4,2,Brave,Yes,2,16,None of the above,No,No,No,No preference,chocolate,2,very negative,Spring,Geology
No preference,Salty,rarely/never,Dinner,10,10,21,Forrest Green,2,14,2,Yes,Freshens,0,0,Yes,Somewhat,Major,California,Ateez,10,0,1,No,3,4,Princess and the Frog,No,5,19,None of the above,No,No,No,No preference,vanilla,0,somewhat negative,Spring,Kinesiology 
Eat out,Sweet,around once a month,Lunch,20,8,18,Red,4,11,2,No,VU,0,2,No,Somewhat,Prerequisite,Alaska,Mt Joy,17,12,4,No,11,4,We Bought a Zoo,No,3,18,None of the above,No,No,No,Cats,chocolate,4,very negative,Summer,political science
Eat out,Sweet,around once a month,Dinner,10,2,18,Green,3,14,1,No,Fairhaven ,0,3,No,No,Prerequisite,Washington ,Billy Joel ,6,14,2,No,3,1,Cars,Yes,7,18,,"Yes, but once or only a few times",No,No,Dogs,chocolate,1,neutral,Summer,History 
Eat out,Sweet,around once a month,Dinner,0,4,21,Blue,0,16,2,No,None ,23,10,Yes,Somewhat,Prerequisite,Washington ,Ye,,0,4,Yes,6,0,Interstellar ,Yes,5,14,None of the above,No,No,No,Dogs,chocolate,2,neutral,Summer,Kinesiology 
Order in,Salty,around once a week,Lunch,2,5,19,Purple,1,16,2,No,Viking Commons,0,2,No,Somewhat,Major,California,boygenius,8,9,1,No,5,1,Coco,Don't know,7,17,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times","Yes, but once or only a few times",Cats,vanilla,4,very negative,Spring,Public Health
Order in,Salty,around once a year,Dinner,1,1,22,Magenta,3,14,1,Yes,N/A,0,0,Yes,Somewhat,Major,WA,Ghost,8,0,2,No,2,1,Monsters Inc.,Yes,7,18,None of the above,"No, but want to learn","No, but want to learn","No, but want to learn",Cats,chocolate,5,very negative,Fall,Geology
Eat out,Salty,rarely/never,Lunch,0,2,23,Blue,2,13,1,Yes,Burrito king,15,3,Yes,Somewhat,Major,WA,Kings of Leon,6,0,1,No,2,2,Charlotte’s Web,No,7,14,None of the above,"No, but want to learn",No,No,Cats,chocolate,2,somewhat positive,Summer,Public Health
