eat_pref,salt_sweet,costco,fav_meal,books_per_year,music_per_day,age,bible_offer,trick_or_treat_cutoff,states_lived,work_per_week,exercise_per_week,why_class,states_visited,meals_per_week_campus,sibling,countries_visited,pets_num,fav_movie_growing_up,god,caffiene_drink_per_week,credits,diet,ski_snowboard,rock_climbing,mt_biking,cat_or_dog,ice_cream,breakfast_days_per_week,born_state_c,born_region_c,fav_band_c,fav_color_c,fav_dining_c,fav_season_c,car_c,first_gen_c,rock_collect_c,rainy_days_c,ai_opinion_c,major_c,major_discipline_c
Order in,Sweet,around once a month,Dinner,0,3,21,3,16.0,2,30,5.0,Major,5.0,0.0,1.0,0,2,Spiderman,No,5.0,15,None of the above,"Yes, but once or only a few times",No,No,Dogs,chocolate,7,Michigan,Midwest,Eminem,Red,Fairhaven,Spring,Yes,No,No,Dislike,,Biochemistry,Life Sciences
No preference,No preference,around once a year,Lunch,0,5,19,1,17.0,1,0,4.0,Major,1.0,3.0,1.0,7,1,Kung fu hustle,Don't know,0.0,14,None of the above,No,No,No,Dogs,vanilla,2,Washington,West Coast,LE SSERAFIM,Purple,,Spring,Yes,Yes,No,Neutral,Somewhat Negative,Biology,Life Sciences
Order in,Sweet,around once a month,Dinner,3,4,19,6,17.0,1,0,1.0,Major,14.0,4.0,1.0,4,2,Brave,Yes,2.0,16,None of the above,No,No,No,No preference,chocolate,2,Washington,West Coast,Joy Division,Purple,Fairhaven,Spring,Yes,No,Yes,Neutral,Very Negative,Geology,Physical Sciences
No preference,Salty,rarely/never,Dinner,10,10,21,2,14.0,2,0,0.0,Major,10.0,0.0,1.0,3,4,Princess and the Frog,No,5.0,19,None of the above,No,No,No,No preference,vanilla,0,California,West Coast,Ateez,Green,Freshens,Spring,Yes,No,Yes,Neutral,Somewhat Negative,Kinesiology,Health Sciences
Eat out,Sweet,around once a month,Lunch,20,8,18,4,11.0,2,0,2.0,Prerequisite,17.0,12.0,4.0,11,4,We Bought a Zoo,No,3.0,18,None of the above,No,No,No,Cats,chocolate,4,Alaska,West Coast,Mt Joy,Red,Viking Union,Summer,No,No,No,Neutral,Very Negative,Political Science,Social Sciences
Eat out,Sweet,around once a month,Dinner,10,2,18,3,14.0,1,0,3.0,Prerequisite,6.0,14.0,2.0,3,1,Cars,Yes,7.0,18,,"Yes, but once or only a few times",No,No,Dogs,chocolate,1,Washington,West Coast,Billy Joel,Green,Fairhaven,Summer,No,No,No,Dislike,Neutral,History,Humanities
Eat out,Sweet,around once a month,Dinner,0,4,21,0,16.0,2,23,10.0,Prerequisite,,0.0,4.0,6,0,Interstellar ,Yes,5.0,14,None of the above,No,No,No,Dogs,chocolate,2,Washington,West Coast,Ye,Blue,,Summer,Yes,Yes,No,Neutral,Neutral,Kinesiology,Health Sciences
Order in,Salty,around once a week,Lunch,2,5,19,1,16.0,2,0,2.0,Major,8.0,9.0,1.0,5,1,Coco,Don't know,7.0,17,None of the above,"Yes, but once or only a few times","Yes, but once or only a few times","Yes, but once or only a few times",Cats,vanilla,4,California,West Coast,boygenius,Purple,Viking Commons,Spring,No,No,No,Neutral,Very Negative,Public Health,Health Sciences
Order in,Salty,around once a year,Dinner,1,1,22,3,14.0,1,0,0.0,Major,8.0,0.0,2.0,2,1,Monsters Inc.,Yes,7.0,18,None of the above,"No, but want to learn","No, but want to learn","No, but want to learn",Cats,chocolate,5,Washington,West Coast,Ghost,Purple,,Fall,Yes,No,Yes,Neutral,Very Negative,Geology,Physical Sciences
Eat out,Salty,rarely/never,Lunch,0,2,23,2,13.0,1,15,3.0,Major,6.0,0.0,1.0,2,2,Charlotte’s Web,No,7.0,14,None of the above,"No, but want to learn",No,No,Cats,chocolate,2,Washington,West Coast,Kings of Leon,Blue,Burrito King,Summer,Yes,No,Yes,Neutral,Somewhat Positive,Public Health,Health Sciences
