Weights,Type
3.0630,1
3.0487,1
2.9149,1
3.1358,1
2.9753,1
3.1366,2
3.0755,2
3.1692,2
3.0476,2
3.1029,2
3.0377,2
3.1083,2
3.1141,2
3.0976,2
3.0862,2
3.0570,2
3.0765,2
3.1114,2
3.0965,2
3.0816,2
3.0054,2
3.1934,2
3.1461,2
3.0185,2
3.1267,2
3.1524,2
3.0786,2
3.0131,2
3.1535,2
3.0480,2
3.0050,2
3.0290,2
3.1038,2
3.0357,2
3.0064,2
3.0936,2
3.1031,2
3.0408,2
3.0561,2
3.0994,2
3.1582,3
3.0406,3
3.0762,3
3.0398,3
3.1043,3
3.1274,3
3.0775,3
3.1038,3
3.1086,3
3.0586,3
3.0603,3
3.0502,3
3.1028,3
3.0522,3
3.0546,3
3.0185,3
3.0712,3
3.0717,3
3.0546,3
3.0817,3
3.0704,3
3.0797,3
3.0713,3
3.0631,3
3.0866,3
3.0763,3
3.1299,3
3.0846,3
3.0917,3
3.0877,3
2.9593,3
3.0966,3
2.9800,3
3.0934,3
3.1340,3
2.5113,4
2.4907,4
2.5024,4
2.5298,4
2.4950,4
2.5127,4
2.4998,4
2.4848,4
2.4823,4
2.5163,4
2.5222,4
2.5004,4
2.5248,4
2.5058,4
2.4900,4
2.5068,4
2.5016,4
2.4797,4
2.5067,4
2.5139,4
2.4762,4
2.5004,4
2.5170,4
2.4925,4
2.4876,4
2.4933,4
2.4806,4
2.4907,4
2.5017,4
2.4950,4
2.4973,4
2.5252,4
2.4978,4
2.5073,4
2.4658,4
2.4529,4
2.5085,4
3.2214,5
3.2326,5
2.4662,5
2.8357,5
3.3189,5
3.2612,5
3.2441,5
2.4679,5
2.7202,5
2.5120,5
6.2771,6
6.2371,6
6.1501,6
6.0002,6
6.1275,6
6.2151,6
6.2866,6
6.0760,6
6.1426,6
6.3415,6
6.1309,6
6.2412,6
6.1442,6
6.1073,6
6.1181,6
6.1352,6
6.2821,6
6.2647,6
6.2908,6
6.1661,6
6.2674,6
6.2718,6
6.1949,6
6.2465,6
6.3172,6
6.1487,6
6.0829,6
6.1423,6
6.1970,6
6.2441,6
6.3669,6
6.0775,6
6.1095,6
6.1787,6
6.2130,6
6.1947,6
6.1940,6
6.0257,6
6.1719,6
6.3278,6
5.7027,7
5.7495,7
5.7050,7
5.5941,7
5.7247,7
5.6114,7
5.6160,7
5.5999,7
5.7790,7
5.6841,7
5.6234,7
5.5928,7
5.6486,7
5.6661,7
5.5361,7
5.5491,7
5.7239,7
5.6555,7
5.6063,7
5.5709,7
5.5591,7
5.5864,7
5.6872,7
5.6274,7
5.6157,7
5.6668,7
5.7198,7
5.6694,7
5.5454,7
5.6646,7
5.5636,7
5.6485,7
5.6703,7
5.6848,7
5.5609,7
5.7344,7
5.6449,7
5.5804,7
5.6010,7
5.6022,7
8.1008,8
8.1072,8
8.0271,8
8.0813,8
8.0241,8
8.0510,8
7.9817,8
8.0954,8
8.0658,8
8.1238,8
8.1281,8
8.0307,8
8.0719,8
8.0345,8
8.0775,8
8.1384,8
8.1041,8
8.0894,8
8.0538,8
8.0342,8
