understanding,work_hrs,work_hrs_bin,wake_up,bed_time,fav_time,fast_food,tiktok,social_time,god,siblings
"I understand most of the content, but not all","Yes, 11-20 hours",15,8:30:00 AM,12:00:00 AM,8:00:00 PM,Burritoes,Yes,6,Yes,2
"I understand most of the content, but not all","Yes, 31-40 hours",35,6:30:00 AM,12:00:00 AM,7:00:00 PM,Teriyaki Chicken with white rice and veggies from the mall ,Yes,2,No,2
"I understand most of the content, but not all","Yes, 21-30 hours",25,8:00:00 AM,1:00:00 AM,3:00:00 PM,Tacos,Yes,2,Yes,8
"I understand most of the content, but not all","Yes, 31-40 hours",25,6:00:00 AM,10:30:00 PM,8:00:00 AM,Tacos,Yes,5,Yes,3
"I understand most of the content, but not all","No, 0 hours",0,6:40:00 AM,11:00:00 PM,4:00:00 PM,Fried Chicken,Yes,8,No,9
"I understand most of the content, but not all","Yes, 11-20 hours",15,10:00:00 AM,1:00:00 AM,6:00:00 PM,Burritoes,Yes,6,Yes,1
"I understand most of the content, but not all","Yes, 11-20 hours",15,8:30:00 AM,1:00:00 AM,2:00:00 PM,Tacos,No,6,Yes,4
"I understand most of the content, but not all","Yes, 21-30 hours",25,5:55:00 AM,11:00:00 PM,1:00:00 PM,teriyaki,Yes,4,Yes,4
I don't understand very much,"No, 0 hours",0,8:30:00 AM,10:30:00 PM,8:00:00 PM,Pizza,Yes,6,No,0
"I understand most of the content, but not all","No, 0 hours",0,6:15:00 AM,11:30:00 PM,10:00:00 PM,Burgers,Yes,12,Yes,5
I understand nothing,"No, 0 hours",0,7:20:00 AM,12:00:00 AM,1:00:00 PM,Pizza,Yes,2,Yes,3
I understand nothing,"No, 0 hours",0,6:00:00 AM,11:00:00 PM,1:00:00 PM,Tacos,Yes,2,Yes,5
I don't understand very much,"No, 0 hours",0,7:50:00 AM,11:30:00 PM,8:00:00 PM,Tacos,No,1,Yes,3
"I understand most of the content, but not all","Yes, 11-20 hours",15,5:45:00 AM,10:15:00 AM,1:00:00 PM,Tacos,Yes,4,Yes,4
"I understand most of the content, but not all","Yes, 21-30 hours",25,7:00:00 AM,10:00:00 PM,8:30:00 AM,Pizza,Yes,5,No,2
"I understand most of the content, but not all","Yes, 1-10 hours",5,9:00:00 AM,1:00:00 AM,2:00:00 AM,Burgers,Yes,11,Yes,3
I don't understand very much,"Yes, 31-40 hours",35,8:00:00 AM,12:00:00 AM,7:00:00 AM,Fried Chicken,Yes,13,Yes,2
I don't understand very much,"Yes, 1-10 hours",5,10:00:00 AM,11:00:00 PM,10:00:00 AM,salad,No,6,Yes,5
"I understand most of the content, but not all","Yes, 21-30 hours",25,8:00:00 AM,11:00:00 AM,12:00:00 PM,Tacos,Yes,5,Yes,3
"I understand most of the content, but not all","Yes, 31-40 hours",35,6:15:00 AM,2:00:00 AM,6:00:00 PM,Tacos,Yes,6,Yes,5
I understand everything,"Yes, 1-10 hours",5,5:45:00 AM,9:30:00 AM,1:00:00 PM,Tacos,Yes,9,No,2
"I understand most of the content, but not all","No, 0 hours",0,,10:00:00 PM,3:00:00 PM,Tacos,Yes,5,Yes,2
I don't understand very much,"Yes, 21-30 hours",25,9:00:00 AM,11:00:00 PM,11:00:00 PM,Pizza,No,1,Yes,6
"I understand most of the content, but not all","Yes, 41-50 hours",45,7:00:00 AM,1:00:00 AM,3:00:00 PM,chitpotle,Yes,3,No,3
I don't understand very much,"No, 0 hours",35,8:30:00 AM,11:30:00 PM,4:00:00 PM,Burgers,Yes,5,Yes,5
"I understand most of the content, but not all","Yes, 31-40 hours",35,7:30:00 AM,11:00:00 PM,6:00:00 PM,Tacos,Yes,2,Yes,4
"I understand most of the content, but not all","No, 0 hours",0,8:00:00 AM,2:00:00 AM,10:00:00 PM,Fried Chicken,Yes,5,No,2
I understand everything,"Yes, over 50 hours",55,5:30:00 AM,10:00:00 PM,6:00:00 AM,Tacos,No,5,Yes,7
I understand everything,"No, 0 hours",0,5:30:00 AM,9:30:00 AM,10:00:00 AM,Pizza,Yes,5,Yes,1
"I understand most of the content, but not all","Yes, 31-40 hours",35,9:30:00 AM,12:30:00 AM,7:00:00 PM,Burritoes,No,2,Yes,8
"I understand most of the content, but not all","No, 0 hours",0,8:00:00 AM,10:00:00 AM,8:30:00 AM,Burritoes,No,1,Yes,2
I understand everything,"No, 0 hours",0,8:00:00 AM,11:00:00 PM,1:00:00 AM,Fried Chicken,No,2,Yes,1
"I understand most of the content, but not all","Yes, 31-40 hours",35,5:00:00 AM,10:00:00 PM,1:30:00 PM,Burgers,No,3,Yes,2
"I understand most of the content, but not all","No, 0 hours",0,8:00:00 AM,11:45:00 PM,6:00:00 PM,Pizza,No,1,No,2
"I understand most of the content, but not all","Yes, 11-20 hours",15,8:00:00 AM,12:00:00 PM,5:00:00 PM,Tacos,Yes,6,Yes,4
